"Timestamp","How old are you (in years)?","What is your gender?","Do you live in an urban or rural area?"
"2023/07/26 2:01:07 pm CET","26","Male","Urban"
"2023/07/26 2:30:47 pm CET","24","male","urban"
"2023/07/26 2:35:17 pm CET","24","Male","urban"
"2023/07/26 2:35:37 pm CET","34","female","urban"
"2023/07/26 2:36:28 pm CET","26","male","urban"
"2023/07/27 4:03:21 pm CET","29","Female","Urban"
"2023/07/27 5:02:43 pm CET","23","female","urban"
"2023/09/14 1:08:44 pm CET","26","male","no"
"2023/09/17 9:23:28 pm CET","34","female","urban"
"2023/09/28 6:57:59 am CET","27","Male","urban"
"2023/09/28 7:57:09 am CET","26","male","urban"
"2023/09/28 8:05:53 am CET","24","Male","Urban"
"2023/09/28 9:22:35 am CET","30","female","urban"
"2023/09/28 9:31:19 am CET","25","Male","Urban"
"2023/09/28 5:45:14 pm CET","34","female","urban"
"2023/10/04 9:37:33 pm CET","26","Male","Urban"
